UserName;UserAvatar;UserProfile;Content;ScrapeTime;CreateTime;LikeCount;ReplyCount;VideoURL;Column1;Column2;Column3
hanun;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/11b4825f2286908c600d538f233b55e7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7175062c&x-expires=1760752800&x-signature=1o6eZHVUk9EhWW35sfRecohHzOI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@fathanputravhantheglank;ayo kita dukung pk sumarji jgn smpe dia d pecat.. smgt pak;17/10/2025 09:54;3d ago;836;13;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
bagus setiawan;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6ae8cb0958a4f4137f82974ada1305b6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1dce1400&x-expires=1760752800&x-signature=lqmx5Rmvb7jS3Q%2BZptQmVPh59uo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@yora954;kalau menurut saya, petrik bagus,semua btuh proses,ga ada yg instan;17/10/2025 09:54;22h ago;0;4;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
fikri.hidayt;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3979ca99729258aed69fc7a789cd98ac~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=30d74082&x-expires=1760752800&x-signature=RQmy8I4GoIdNFNs%2Fm65mXq90txU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@fikrii_.12;rupanya beliau kecewa sangat;17/10/2025 09:54;3d ago;1575;14;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
DRaprap;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2abb11dbdf5bea310fce8947ab3150d6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7874ca01&x-expires=1760752800&x-signature=JUx1AN9MR0QM%2Frmo%2BWSBEx%2BOgdo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@draprap;Kalah dan menang itu wajar kita negara yang mentalnya belum kuat nerima kekalahan sadar lah diri kita , kita rangking berapa pemain dispora kita bukan Grade A . Round 4 memang lebih keras semua berjuang matimatian untuk masuk piala dunia. Tapi kita harus sadar level kita masih jauh dari sana . Kalo timnas langsung ganti pelatih karna ke gagalan ini kemunduran akan datang , beri mereka berproses;17/10/2025 09:54;3d ago;11;89;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
Ahmad ALjawawi;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/13a3199cac54ffe62f894e707a9a14ca~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ad5e122e&x-expires=1760752800&x-signature=ZevRII1tmLJnDkwOA6%2FI4bEmDL8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@aljawawi48;seperti nya pak Sumardji menyimpan amarah,dgn kinerja tim pelatih;17/10/2025 09:54;3d ago;2146;21;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
cuddle.punk;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f6fa87ab1579bbe7ff0c8c69f8acbf56~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f956ab79&x-expires=1760752800&x-signature=uR67OvMxig4tPFJM3gAz%2FWMp%2FGY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@cuddle.punkk;anda memukul wasit? anda sudah mewakili kami pak sumardji. Maju terus kami dukung anda!;17/10/2025 09:54;3d ago;3566;20;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
𝓒𝓪𝓴 𝓨𝓾𝓭;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/447b1856a85cfd31f9e3b299e69f0558~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=60446dfe&x-expires=1760752800&x-signature=YPNKtsdwzJ0cLYBAYEymZV%2BIFQw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@gratisanlovers;laporin aja ke Menpora,biar ketua PSSI di pecat;17/10/2025 09:54;3d ago;120;53;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
arinss 𐙚˙⋆;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9e5dc872bc887af2889eeef069d7406a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=cec39d0f&x-expires=1760752800&x-signature=QMzb7inXUCJ27oT3OUcK7dYjpZo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@arinibadri;apasih gunanya exco pssi ini ?;17/10/2025 09:54;3d ago;337;16;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
satmaja;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d77d055889932e28b50e508ef1e30866~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4c2d91da&x-expires=1760752800&x-signature=WXn8GP3xoSyb0N1VHYQ4N%2FxwpZ8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@atmajaya.salim;manejer pssi ini juga wajib di evaluasi !!!;17/10/2025 09:54;3d ago;9;12;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
dubidubidamm;https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f7d532c5acd368e68bee3183aab61d66~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ff4b71d7&x-expires=1760752800&x-signature=fl2yPWOZwj6NJs0KDVLjxGZqAXQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2;https://www.tiktok.com/@hellooowwwwwi;suka deh kalau pak sumardji lagii mode on fire gini, GASKANNN PAKKK !! kalau bisa yg di pecat sii PK ajaa terus AP yg naik jadi pelatih kepala ! terlihat lebih meyakinkann;17/10/2025 09:54;3d ago;111;5;https://www.tiktok.com/@kompastv.indonesia/video/7560570706631658760?q=berita%20timnas%20indonesia%20&t=1760669523775;;;
